               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12591,            0.029596,                   0,           0.0035755,             0.10638,            0.001495,          0.00019927,              0.1262,            0.022738,                   0,              0.0982,              0.0002,              0.0002
                   1,             0.12517,            0.030003,                   0,           0.0009454,             0.21277,           0.0012944,          0.00022291,             0.12336,            0.022055,                   0,            0.095495,          0.00049505,          0.00049505
                   2,             0.11885,            0.029764,                   0,            0.010924,             0.10638,           0.0057271,          0.00070646,             0.11599,            0.021852,                   0,            0.092784,          0.00078416,          0.00078416
                   3,             0.11137,            0.027972,                   0,           0.0014634,             0.38298,           0.0067852,           0.0013084,             0.10797,            0.021635,                   0,            0.090067,           0.0010673,           0.0010673
                   4,             0.10722,            0.029515,                   0,           0.0017073,             0.44681,            0.016774,           0.0040288,             0.10083,            0.021242,                   0,            0.087345,           0.0013446,           0.0013446
                   5,            0.098952,            0.026037,                   0,           0.0059927,             0.44681,            0.054326,            0.012696,            0.097328,            0.020808,                   0,            0.084616,           0.0016158,           0.0016158
                   6,            0.096765,            0.026512,                   0,            0.077636,             0.48936,             0.16094,            0.036105,              0.0956,            0.020004,                   0,            0.081881,           0.0018812,           0.0018812
                   7,            0.097845,            0.028209,                   0,             0.07979,             0.48936,             0.16108,            0.036267,             0.09533,            0.020043,                   0,            0.079141,           0.0021406,           0.0021406
                   8,            0.099665,            0.025688,                   0,             0.43198,             0.19149,             0.20775,            0.054314,            0.093469,            0.019333,                   0,            0.076394,           0.0023941,           0.0023941
                   9,            0.095857,            0.027478,                   0,             0.38364,             0.25532,             0.19961,            0.063752,            0.092112,            0.018951,                   0,            0.073642,           0.0026416,           0.0026416
                  10,            0.088747,            0.025828,                   0,             0.22662,              0.2766,             0.17868,            0.062394,            0.093827,            0.017891,                   0,            0.070883,           0.0028832,           0.0028832
                  11,            0.092711,             0.02675,                   0,             0.41126,              0.2766,             0.30513,             0.11947,            0.083746,            0.018759,                   0,            0.068119,           0.0031189,           0.0031189
                  12,            0.087401,            0.023132,                   0,             0.54965,             0.25532,             0.32344,             0.13397,            0.086303,            0.017439,                   0,            0.065349,           0.0033486,           0.0033486
                  13,             0.08616,            0.025169,                   0,             0.74878,             0.25377,             0.33107,             0.14534,            0.088573,            0.016956,                   0,            0.062572,           0.0035723,           0.0035723
                  14,            0.080769,            0.024852,                   0,             0.44589,             0.23404,             0.25195,            0.096834,            0.083575,            0.016794,                   0,             0.05979,           0.0037902,           0.0037902
                  15,            0.082938,            0.022611,                   0,             0.43629,              0.3617,             0.34772,             0.11439,            0.076651,            0.017317,                   0,            0.057002,           0.0040021,           0.0040021
                  16,            0.079259,            0.024378,                   0,             0.30213,             0.38298,             0.31315,             0.10147,            0.076389,            0.016777,                   0,            0.054208,            0.004208,            0.004208
                  17,            0.077223,            0.023057,                   0,             0.38086,             0.38298,             0.32922,             0.10036,            0.077975,            0.015944,                   0,            0.051408,            0.004408,            0.004408
                  18,            0.077034,            0.022525,                   0,             0.38675,              0.3617,             0.37566,             0.12807,            0.075387,             0.01605,                   0,            0.048602,           0.0046021,           0.0046021
                  19,            0.067304,            0.020185,                   0,             0.13499,             0.34043,            0.084536,            0.028724,            0.076914,            0.015902,                   0,             0.04579,           0.0047902,           0.0047902
                  20,            0.073173,            0.024615,                   0,             0.52209,             0.48936,             0.39361,             0.19512,            0.072988,            0.015718,                   0,            0.042972,           0.0049724,           0.0049724
                  21,            0.067938,            0.023924,                   0,             0.20578,             0.40426,             0.14023,            0.056139,            0.083758,            0.014942,                   0,            0.040149,           0.0051487,           0.0051487
                  22,            0.074889,            0.018892,                   0,             0.55552,             0.46809,             0.50513,             0.24324,            0.062359,            0.016556,                   0,            0.037319,            0.005319,            0.005319
                  23,            0.067823,             0.02311,                   0,              0.5275,              0.3617,             0.34741,              0.1425,            0.076763,            0.015028,                   0,            0.034483,           0.0054833,           0.0054833
                  24,            0.069118,            0.020452,                   0,             0.44795,             0.55319,             0.41635,             0.13831,            0.066228,            0.015495,                   0,            0.031642,           0.0056418,           0.0056418
                  25,            0.063358,            0.022088,                   0,             0.76485,             0.34623,             0.40789,             0.17463,            0.073736,            0.015142,                   0,            0.028794,           0.0057942,           0.0057942
                  26,            0.069597,            0.020426,                   0,             0.38241,             0.42553,             0.38567,             0.14399,            0.059902,             0.01618,                   0,            0.025941,           0.0059408,           0.0059408
                  27,             0.05936,            0.023284,                   0,             0.63849,             0.29787,             0.35997,             0.17148,            0.077079,            0.013999,                   0,            0.023081,           0.0060814,           0.0060814
                  28,            0.070929,            0.020964,                   0,             0.63849,             0.29787,             0.35997,             0.17148,            0.077079,            0.013999,                   0,            0.020216,           0.0062161,           0.0062161
                  29,            0.063312,            0.019594,                   0,             0.52145,             0.31915,             0.38892,              0.1628,            0.065497,            0.014944,                   0,            0.017345,           0.0063448,           0.0063448
                  30,            0.058911,             0.02233,                   0,             0.62497,             0.35475,             0.43469,             0.14884,            0.070525,            0.014307,                   0,            0.014468,           0.0064676,           0.0064676
                  31,             0.06116,            0.021744,                   0,             0.50387,             0.51871,             0.55267,              0.2482,            0.055154,            0.015544,                   0,            0.011584,           0.0065844,           0.0065844
                  32,            0.054292,            0.020725,                   0,             0.50387,             0.51871,             0.55267,              0.2482,            0.055154,            0.015544,                   0,           0.0086954,           0.0066954,           0.0066954
                  33,            0.054321,            0.022143,                   0,             0.64004,             0.38298,             0.49505,             0.21748,            0.057037,            0.015121,                   0,            0.006733,            0.006733,            0.006733
                  34,            0.056686,            0.022738,                   0,             0.35085,             0.57447,             0.38555,             0.11047,            0.063064,            0.014354,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.060516,            0.025863,                   0,              0.4866,              0.3617,             0.40843,             0.18561,            0.062859,            0.014205,                   0,            0.006634,            0.006634,            0.006634
